# XafsM2 Monitor Data
# 13/01/25 19:26:25
#	sec	Counter 0 (I0)[count]	Counter 1 (I1)[count]	Counter 2 (I0 via KTL)[count]
1.2	955.921	692.349	1100.97	 # 13/01/25 19:26:27
1.8	645.601	1230.25	504.317	 # 13/01/25 19:26:27
2.4	1204.3	719.895	606.929	 # 13/01/25 19:26:28
3	974.844	755.334	887.929	 # 13/01/25 19:26:28
3.6	547.693	522.41	883.254	 # 13/01/25 19:26:29
4.3	1198.61	1129.89	926.565	 # 13/01/25 19:26:30
4.9	1199.5	620.996	722.854	 # 13/01/25 19:26:30
5.5	921.727	613.664	1388.04	 # 13/01/25 19:26:31
6.1	984.525	1499.03	1144.4	 # 13/01/25 19:26:31
6.7	1352.49	795.266	1370.51	 # 13/01/25 19:26:32
7.3	1250.45	615.621	938.977	 # 13/01/25 19:26:33
7.9	1050.5	1235.04	1001.15	 # 13/01/25 19:26:33
8.5	622.162	985.1	744.53	 # 13/01/25 19:26:34
9.1	1357.05	856.646	1457.22	 # 13/01/25 19:26:34
9.7	1364.14	874.154	716.839	 # 13/01/25 19:26:35
10.3	1221.97	838.284	1199.1	 # 13/01/25 19:26:36
10.9	991.354	1110.88	742.135	 # 13/01/25 19:26:36
11.5	817.189	583.254	1076.05	 # 13/01/25 19:26:37
12.1	1188.85	1107.59	552.981	 # 13/01/25 19:26:37
12.7	1232.58	761.07	1386.45	 # 13/01/25 19:26:38
13.3	1151.24	574.458	647.011	 # 13/01/25 19:26:39
13.9	803.267	841.824	871.403	 # 13/01/25 19:26:39
14.5	1484.37	931.68	780.972	 # 13/01/25 19:26:40
15.1	1258.65	666.374	1479.13	 # 13/01/25 19:26:40
15.7	692.294	676.048	544.134	 # 13/01/25 19:26:41
16.3	550.718	575.956	1333.62	 # 13/01/25 19:26:42
16.9	720.987	1054.42	1315.22	 # 13/01/25 19:26:42
17.5	1028.47	1334.43	978.681	 # 13/01/25 19:26:43
18.1	1420.29	1429.16	1168.99	 # 13/01/25 19:26:43
18.7	653.87	882.942	1410.97	 # 13/01/25 19:26:44
19.3	651.576	608.466	1239.29	 # 13/01/25 19:26:45
19.9	1466.19	1215.79	1025.12	 # 13/01/25 19:26:45
20.5	1362.36	941.641	1351.34	 # 13/01/25 19:26:46
21.1	1004.49	1471.6	950.149	 # 13/01/25 19:26:46
21.7	502.362	1162.79	1168.81	 # 13/01/25 19:26:47
22.3	857.551	1168.36	1467.76	 # 13/01/25 19:26:48
22.9	636.467	1123.93	1372.39	 # 13/01/25 19:26:48
23.5	1494.89	1186.78	1351.46	 # 13/01/25 19:26:49
24.1	574.246	1438.05	1181.7	 # 13/01/25 19:26:49
24.7	804.265	1056.88	605.065	 # 13/01/25 19:26:50
25.3	583.942	574.673	1438.76	 # 13/01/25 19:26:51
25.9	777.424	505.673	1398.5	 # 13/01/25 19:26:51
26.5	855.345	613.801	630.572	 # 13/01/25 19:26:52
