13822 20060 19524 20107 22756 21590 20199 24290 18104 21120 21307 21203 20299 21815 22493 22298 20866 21550 22077 21290 20060 19524 20107 22756 21590 20199 24290 18104 21120 21307 21203 20299 21815 22493 22298 20866 21550 22077 21290 20060 19524 20107 22756 21590 20199 24290 18104 21120 21307 21203 20299 21815 22493 22298 20866 21550 22077 21290 21816 21247.2 21777.4 26232.3 23398.1 22119.3 27177.4 19604.8 22958.4 23346.8 23172.7 22161 23735.8 24486.3 24414.9 22449.7 23262.2 24036.6 23345.1
15522 20178 19870 20141 22879 21494 20321 23988 17999 21467 21271 20766 20468 21958 22375 22124 20625 21119 22151 21411 20178 19870 20141 22879 21494 20321 23988 17999 21467 21271 20766 20468 21958 22375 22124 20625 21119 22151 21411 20178 19870 20141 22879 21494 20321 23988 17999 21467 21271 20766 20468 21958 22375 22124 20625 21119 22151 21411 21867.4 21527.4 21743.4 26395 23322.4 22290.4 26788.7 19370.7 23332.6 23273.8 22603.5 22420.5 23782.3 24320.9 24281 22160.8 22715.3 24095 23374.2
17222 20288 19932 20430 11713 21529 20033 24377 18349 21421 21387 21241 20343 21652 22177 22101 20853 21506 22212 21462 20288 19932 20430 11713 21529 20033 24377 18349 21421 21387 21241 20343 21652 22177 22101 20853 21506 22212 21462 20288 19932 20430 11713 21529 20033 24377 18349 21421 21387 21241 20343 21652 22177 22101 20853 21506 22212 21462 21946.4 21605.2 22086.6 26503.1 23390.4 21934.2 27332.5 19827.2 23219.8 23279.5 23109.7 22151.8 23493.8 24197.1 24174 22400.7 23154.7 24236.4 23516.9
18922 20025 19835 20221 0 21635 20195 24508 18187 21423 21386 21197 20315 21718 22513 22043 20878 21397 22240 21442 20025 19835 20221 0 21635 20195 24508 18187 21423 21386 21197 20315 21718 22513 22043 20878 21397 22240 21442 20025 19835 20221 0 21635 20195 24508 18187 21423 21386 21197 20315 21718 22513 22043 20878 21397 22240 21442 21712.7 21577.7 21848.9 0 23431.6 22052.4 27443.6 19655.7 23297.4 23422.2 23089.4 22201 23513.5 24501.8 24116.8 22520.3 23090.7 24207.8 23454.8
20622 20228 19708 20352 0 21491 20233 24480 18198 21249 21339 21172 20451 21505 22345 21948 20734 21278 21969 21479 20228 19708 20352 0 21491 20233 24480 18198 21249 21339 21172 20451 21505 22345 21948 20734 21278 21969 21479 20228 19708 20352 0 21491 20233 24480 18198 21249 21339 21172 20451 21505 22345 21948 20734 21278 21969 21479 21852 21549.9 21989.7 0 23252.5 22158.7 27384.6 19617.5 23122.4 23341.9 23123.7 22288.4 23423.5 24463.4 24080.7 22332 22902.3 23992.2 23463.3
22322 20115 19937 20365 0 21541 19931 24555 18081 20997 21238 21321 20415 21838 22379 21901 20599 21226 22040 21583 20115 19937 20365 0 21541 19931 24555 18081 20997 21238 21321 20415 21838 22379 21901 20599 21226 22040 21583 20115 19937 20365 0 21541 19931 24555 18081 20997 21238 21321 20415 21838 22379 21901 20599 21226 22040 21583 21800.3 21614.2 22060.4 0 23277 21854.8 27517.6 19499.4 22798.7 23257.5 23266.8 22361 23698.8 24362.6 24034.9 22232.4 22865 24002.6 23682.9
24022 20208 20008 20249 0 21730 20179 24405 18169 21580 21382 21340 20373 21714 22377 22315 20813 21195 22133 21358 20208 20008 20249 0 21730 20179 24405 18169 21580 21382 21340 20373 21714 22377 22315 20813 21195 22133 21358 20208 20008 20249 0 21730 20179 24405 18169 21580 21382 21340 20373 21714 22377 22315 20813 21195 22133 21358 21851.2 21739.6 21907.6 0 23534.2 22167.5 27404.9 19612.5 23454 23408 23242.5 22308.1 23578.1 24414 24461.2 22426.8 22829.8 24193.5 23337.6
25722 20265 19890 20080 0 21566 20495 24721 18184 21518 21484 21272 20539 21788 22492 22098 20698 21118 21873 21195 20265 19890 20080 0 21566 20495 24721 18184 21518 21484 21272 20539 21788 22492 22098 20698 21118 21873 21195 20265 19890 20080 0 21566 20495 24721 18184 21518 21484 21272 20539 21788 22492 22098 20698 21118 21873 21195 21944.9 21622.5 21756.9 0 23359 22472.3 27750.6 19674 23398.5 23455.4 23083.8 22353 23626 24429.7 24237.7 22256.6 22768.9 23782.1 23256.3
27422 19966 19864 20165 0 21686 20175 24572 18175 21277 21337 21539 20423 21727 22405 22083 20884 21558 21897 21476 19966 19864 20165 0 21686 20175 24572 18175 21277 21337 21539 20423 21727 22405 22083 20884 21558 21897 21476 19966 19864 20165 0 21686 20175 24572 18175 21277 21337 21539 20423 21727 22405 22083 20884 21558 21897 21476 21570 21586.2 21838.8 0 23594.4 22112.3 27618.3 19547.5 23116 23362.1 23437.1 22259 23526.2 24403 24128.5 22493.8 23307.2 23790 23511.4
29122 20410 19695 20195 0 21529 20356 24923 18369 21444 21363 21334 20304 21514 22338 22099 20756 21342 22238 21131 20410 19695 20195 0 21529 20356 24923 18369 21444 21363 21334 20304 21514 22338 22099 20756 21342 22238 21131 20410 19695 20195 0 21529 20356 24923 18369 21444 21363 21334 20304 21514 22338 22099 20756 21342 22238 21131 22132.8 21368.4 21830.1 0 23307.8 22320 28030.9 19826.9 23346.7 23400 23241.4 22089.5 23355.6 24360.6 24198.4 22326.1 23067.6 24210.7 23168.1
